days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,pH,yield_kg_per_m2,variety_Beefsteak,variety_Cherry,variety_Heirloom,variety_Roma,temp_range,NPK_total,N_ratio,P_ratio,K_ratio,light_energy
67.0,27.6,25.8,30.6,73.6,917.0,16821.0,10.0,9.8,167.0,74.0,154.0,1.3,6.1,9.19,1,0,0,0,4.800000000000001,395.0,0.422784809056241,0.18734177167761576,0.38987341673449766,168210.0
76.0,23.9,20.6,26.0,76.6,821.0,30516.0,10.0,7.0,234.0,64.0,243.0,1.2,6.0,20.86,1,0,0,0,5.399999999999999,541.0,0.4325323467051158,0.11829944525268125,0.4491682061937741,305160.0
84.0,26.7,25.5,29.6,76.1,710.0,43580.0,15.1,5.4,167.0,63.0,234.0,0.8,6.0,22.09,0,0,1,0,4.100000000000001,464.0,0.359913792327772,0.13577586177634512,0.5043103437407105,658058.0
67.0,22.9,20.4,25.3,75.0,866.0,29717.0,12.4,8.2,174.0,104.0,205.0,0.5,6.9,15.68,0,0,0,1,4.900000000000002,483.0,0.36024844645911297,0.2153209105272859,0.42443064094320776,368490.8
66.0,25.1,24.1,27.1,72.1,1012.0,33943.0,12.4,9.0,210.0,84.0,216.0,1.4,6.8,13.69,0,0,1,0,3.0,510.0,0.41176470507497115,0.16470588202998845,0.42352941093425606,420893.2
90.0,26.5,24.6,28.1,84.2,742.0,36325.0,14.5,9.1,155.0,92.0,200.0,2.1,6.2,13.81,0,0,1,0,3.5,447.0,0.3467561513495388,0.20581655434940369,0.44742729206392107,526712.5
74.0,26.1,23.6,27.6,82.3,880.0,34404.0,13.5,4.3,161.0,111.0,157.0,1.0,6.5,24.92,0,0,0,1,4.0,429.0,0.37529137441657023,0.25874125813813226,0.3659673651142952,464454.0
60.0,23.5,21.4,25.3,87.5,713.0,38094.0,15.2,8.3,209.0,80.0,249.0,1.7,6.2,19.24,0,0,0,1,3.900000000000002,538.0,0.38847583570915273,0.14869888448197233,0.4628252779501389,579028.7999999999
63.0,20.6,19.2,22.9,77.4,840.0,12770.0,10.0,4.6,160.0,83.0,196.0,1.6,7.2,16.26,0,1,0,0,3.6999999999999993,439.0,0.3644646916527,0.18906605879483815,0.4464692472745575,127700.0
61.0,28.6,26.9,29.9,77.6,724.0,24463.0,10.0,8.8,195.0,111.0,157.0,0.8,6.4,9.6,0,1,0,0,3.0,463.0,0.42116630578581793,0.2397408202165425,0.3390928718378124,244630.0
65.0,21.8,20.3,23.3,76.4,908.0,20520.0,10.0,4.2,160.0,115.0,229.0,3.0,6.4,19.49,0,0,1,0,3.0,504.0,0.3174603168304359,0.22817460272187579,0.45436507846356133,205200.0
63.0,26.5,25.4,28.0,80.0,677.0,28242.0,10.0,5.1,172.0,78.0,205.0,2.3,6.5,20.56,0,0,1,0,2.6000000000000014,455.0,0.3780219771911605,0.17142857105180534,0.450549449559232,282420.0
69.0,23.3,20.4,24.8,87.2,864.0,36060.0,15.8,6.6,197.0,113.0,210.0,1.3,7.1,19.11,0,0,0,1,4.400000000000002,520.0,0.37884615311760356,0.2173076918897929,0.40384615306952665,569748.0
66.0,27.2,24.0,30.5,64.3,830.0,41365.0,15.6,9.1,211.0,56.0,220.0,1.3,6.8,16.88,0,0,1,0,6.5,487.0,0.43326488617399406,0.11498973282342971,0.45174537894918815,645294.0
62.0,25.3,22.4,28.6,82.0,546.0,30404.0,14.2,6.9,235.0,59.0,238.0,2.4,6.8,19.14,0,0,0,1,6.200000000000003,532.0,0.4417293224779524,0.11090225543063485,0.4473684202117135,431736.8
82.0,24.7,22.3,27.1,77.9,652.0,46256.0,15.1,5.9,191.0,104.0,200.0,1.1,7.0,26.3,0,0,1,0,4.800000000000001,495.0,0.38585858507907356,0.21010100967656362,0.4040404032241608,698465.6
85.0,23.4,21.8,25.3,80.6,734.0,36000.0,15.5,9.1,203.0,52.0,190.0,0.7,6.7,17.57,0,0,0,1,3.5,445.0,0.45617977425577577,0.11685393232167655,0.42696629117535667,558000.0
89.0,23.6,20.5,26.2,81.8,695.0,34189.0,15.9,8.0,198.0,73.0,193.0,3.7,6.4,15.94,1,0,0,0,5.699999999999999,464.0,0.4267241370113704,0.15732758586782847,0.4159482749656287,543605.1
85.0,25.8,23.7,27.6,65.4,893.0,26423.0,13.0,6.6,185.0,83.0,245.0,0.8,7.3,15.22,0,0,1,0,3.900000000000002,513.0,0.36062378097344294,0.1617933720043014,0.4775828450729379,343499.0
72.0,26.5,24.5,28.7,72.3,715.0,35822.0,13.4,8.1,181.0,67.0,224.0,0.9,5.4,18.86,1,0,0,0,4.199999999999999,472.0,0.3834745754587403,0.14194915224163315,0.4745762701809825,480014.8
62.0,22.0,20.4,23.6,81.4,827.0,38453.0,15.2,4.0,224.0,52.0,207.0,2.6,6.3,22.41,0,1,0,0,3.200000000000003,483.0,0.46376811498184656,0.10766045526364296,0.42857142768411716,584485.6
85.0,23.8,22.3,24.8,60.1,754.0,43884.0,15.5,8.5,250.0,92.0,213.0,0.0,7.0,17.77,1,0,0,0,2.5,555.0,0.450450449638828,0.1657657654670887,0.38378378309228145,680202.0
69.0,21.7,20.7,23.1,74.3,884.0,35634.0,15.3,6.2,201.0,103.0,151.0,1.9,6.9,20.72,0,0,0,1,2.400000000000002,455.0,0.44175824078734455,0.22637362587610194,0.33186813113875135,545200.2000000001
60.0,21.5,19.7,23.2,83.4,645.0,25766.0,10.1,6.3,162.0,105.0,240.0,5.1,5.7,15.79,0,0,1,0,3.5,507.0,0.3195266265887049,0.2071005913074939,0.47337278013141465,260236.59999999998
76.0,23.5,20.4,26.0,84.6,877.0,32701.0,15.2,8.0,170.0,113.0,225.0,1.8,7.0,13.42,0,0,1,0,5.600000000000001,508.0,0.33464566863258727,0.22244094444401388,0.4429133849548949,497055.19999999995
80.0,23.0,21.2,24.7,70.6,893.0,23881.0,10.0,7.1,161.0,91.0,173.0,1.6,6.4,14.63,0,1,0,0,3.5,425.0,0.37882352852041523,0.2141176465550173,0.4070588225716263,238810.0
