days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,pH,yield_kg_per_m2,variety_Beefsteak,variety_Cherry,variety_Heirloom,variety_Roma
67.0,27.6,25.8,30.6,73.6,917.0,16821.0,10.0,9.8,167.0,74.0,154.0,1.3,6.1,9.19,1,0,0,0
76.0,23.9,20.6,26.0,76.6,821.0,30516.0,10.0,7.0,234.0,64.0,243.0,1.2,6.0,20.86,1,0,0,0
84.0,26.7,25.5,29.6,76.1,710.0,43580.0,15.1,5.4,167.0,63.0,234.0,0.8,6.0,22.09,0,0,1,0
67.0,22.9,20.4,25.3,75.0,866.0,29717.0,12.4,8.2,174.0,104.0,205.0,0.5,6.9,15.68,0,0,0,1
66.0,25.1,24.1,27.1,72.1,1012.0,33943.0,12.4,9.0,210.0,84.0,216.0,1.4,6.8,13.69,0,0,1,0
90.0,26.5,24.6,28.1,84.2,742.0,36325.0,14.5,9.1,155.0,92.0,200.0,2.1,6.2,13.81,0,0,1,0
74.0,26.1,23.6,27.6,82.3,880.0,34404.0,13.5,4.3,161.0,111.0,157.0,1.0,6.5,24.92,0,0,0,1
60.0,23.5,21.4,25.3,87.5,713.0,38094.0,15.2,8.3,209.0,80.0,249.0,1.7,6.2,19.24,0,0,0,1
63.0,20.6,19.2,22.9,77.4,840.0,12770.0,10.0,4.6,160.0,83.0,196.0,1.6,7.2,16.26,0,1,0,0
61.0,28.6,26.9,29.9,77.6,724.0,24463.0,10.0,8.8,195.0,111.0,157.0,0.8,6.4,9.6,0,1,0,0
87.0,21.1,20.1,22.8,79.9,489.0,25660.0,10.0,5.6,,,,3.1,6.7,17.95,1,0,0,0
65.0,21.8,20.3,23.3,76.4,908.0,20520.0,10.0,4.2,160.0,115.0,229.0,3.0,6.4,19.49,0,0,1,0
63.0,26.5,25.4,28.0,80.0,677.0,28242.0,10.0,5.1,172.0,78.0,205.0,2.3,6.5,20.56,0,0,1,0
69.0,23.3,20.4,24.8,87.2,864.0,36060.0,15.8,6.6,197.0,113.0,210.0,1.3,7.1,19.11,0,0,0,1
66.0,27.2,24.0,30.5,64.3,830.0,41365.0,15.6,9.1,211.0,56.0,220.0,1.3,6.8,16.88,0,0,1,0
62.0,25.3,22.4,28.6,82.0,546.0,30404.0,14.2,6.9,235.0,59.0,238.0,2.4,6.8,19.14,0,0,0,1
82.0,24.7,22.3,27.1,77.9,652.0,46256.0,15.1,5.9,191.0,104.0,200.0,1.1,7.0,26.3,0,0,1,0
85.0,23.4,21.8,25.3,80.6,734.0,36000.0,15.5,9.1,203.0,52.0,190.0,0.7,6.7,17.57,0,0,0,1
76.0,,,,,,,10.0,9.1,249.0,55.0,193.0,1.5,7.1,14.2,0,0,1,0
89.0,23.6,20.5,26.2,81.8,695.0,34189.0,15.9,8.0,198.0,73.0,193.0,3.7,6.4,15.94,1,0,0,0
85.0,25.8,23.7,27.6,65.4,893.0,26423.0,13.0,6.6,185.0,83.0,245.0,0.8,7.3,15.22,0,0,1,0
72.0,26.5,24.5,28.7,72.3,715.0,35822.0,13.4,8.1,181.0,67.0,224.0,0.9,5.4,18.86,1,0,0,0
62.0,22.0,20.4,23.6,81.4,827.0,38453.0,15.2,4.0,224.0,52.0,207.0,2.6,6.3,22.41,0,1,0,0
85.0,23.8,22.3,24.8,60.1,754.0,43884.0,15.5,8.5,250.0,92.0,213.0,0.0,7.0,17.77,1,0,0,0
69.0,21.7,20.7,23.1,74.3,884.0,35634.0,15.3,6.2,201.0,103.0,151.0,1.9,6.9,20.72,0,0,0,1
60.0,21.5,19.7,23.2,83.4,645.0,25766.0,10.1,6.3,162.0,105.0,240.0,5.1,5.7,15.79,0,0,1,0
76.0,23.5,20.4,26.0,84.6,877.0,32701.0,15.2,8.0,170.0,113.0,225.0,1.8,7.0,13.42,0,0,1,0
80.0,23.0,21.2,24.7,70.6,893.0,23881.0,10.0,7.1,161.0,91.0,173.0,1.6,6.4,14.63,0,1,0,0
88.0,26.9,25.4,30.3,74.6,1019.0,20243.0,10.0,6.2,238.0,120.0,202.0,0.4,6.3,17.19,1,0,0,0
83.0,27.7,26.1,28.7,63.2,953.0,29707.0,10.0,11.1,227.0,118.0,239.0,2.9,6.8,16.31,1,0,0,0
73.0,28.9,25.8,31.1,75.2,820.0,24114.0,10.0,8.9,,,,0.0,7.1,7.93,0,0,1,0
82.0,22.9,20.0,24.8,81.4,864.0,16097.0,10.0,5.5,169.0,112.0,191.0,0.5,5.7,17.17,1,0,0,0
80.0,26.1,24.9,27.2,71.9,686.0,25994.0,12.3,8.4,245.0,60.0,183.0,2.6,6.7,16.79,0,1,0,0
66.0,24.9,23.8,26.2,73.3,932.0,17208.0,10.0,4.1,210.0,51.0,159.0,0.0,5.9,21.42,0,1,0,0
86.0,23.1,21.4,24.7,83.1,890.0,39479.0,15.1,5.3,186.0,55.0,165.0,4.4,7.1,19.99,0,1,0,0
87.0,24.1,22.8,26.6,70.8,772.0,40235.0,14.3,8.2,240.0,72.0,212.0,2.5,7.4,12.67,1,0,0,0
89.0,26.6,25.0,28.8,67.9,944.0,16384.0,10.0,7.3,163.0,62.0,186.0,0.3,7.4,15.49,0,1,0,0
80.0,24.0,21.4,25.4,65.3,967.0,31789.0,10.1,10.0,,,,0.8,6.7,19.03,0,1,0,0
69.0,26.1,23.8,29.1,69.9,1040.0,25827.0,10.0,4.2,176.0,59.0,170.0,3.4,6.9,17.35,1,0,0,0
75.0,26.2,24.5,28.5,70.6,704.0,40465.0,15.0,7.3,243.0,76.0,159.0,3.4,6.9,16.98,0,0,0,1
62.0,25.0,22.6,26.5,75.5,662.0,20062.0,10.0,7.6,217.0,104.0,221.0,0.1,6.6,13.99,0,1,0,0
65.0,24.5,22.8,26.8,73.1,623.0,36372.0,15.9,5.1,230.0,68.0,164.0,2.1,5.7,23.54,0,0,0,1
63.0,,,,,,,10.0,9.0,173.0,95.0,194.0,2.5,6.6,11.85,1,0,0,0
75.0,25.0,23.7,26.9,70.6,827.0,39074.0,15.9,6.0,160.0,103.0,241.0,0.0,6.9,21.08,0,1,0,0
84.0,25.6,24.0,26.7,58.5,722.0,43690.0,15.9,6.2,218.0,114.0,199.0,0.3,6.4,22.9,1,0,0,0
72.0,21.3,19.9,23.3,68.7,775.0,18129.0,10.0,5.0,232.0,108.0,198.0,2.1,,17.39,0,1,0,0
66.0,28.9,25.9,32.4,77.3,635.0,11183.0,10.0,8.0,246.0,118.0,189.0,4.3,7.1,11.34,1,0,0,0
78.0,28.0,27.0,29.2,84.4,838.0,21820.0,10.0,6.0,,,,2.3,7.3,17.6,0,0,1,0
89.0,19.5,17.9,21.0,78.4,773.0,28645.0,10.7,7.6,183.0,108.0,230.0,0.5,6.4,15.54,0,0,0,1
83.0,24.6,22.6,28.5,86.8,992.0,30568.0,13.3,6.2,,,,-0.1,7.2,18.11,0,1,0,0
62.0,,,,,,,16.0,10.3,185.0,68.0,239.0,0.6,6.4,14.94,0,1,0,0
87.0,27.8,26.6,30.3,75.7,807.0,20339.0,10.0,8.1,232.0,88.0,191.0,3.8,6.4,13.53,0,0,0,1
63.0,27.2,24.2,30.6,64.2,911.0,32795.0,11.8,8.7,213.0,107.0,215.0,1.3,6.9,11.29,0,1,0,0
76.0,23.7,22.7,25.2,83.9,857.0,38371.0,14.7,7.0,,,,2.6,6.8,20.9,1,0,0,0
66.0,22.6,20.7,24.2,60.2,804.0,35591.0,12.0,4.7,193.0,101.0,242.0,0.4,6.3,19.82,0,0,1,0
62.0,20.6,19.6,21.9,79.5,902.0,34082.0,13.7,5.7,,,,2.0,6.6,19.74,0,0,0,1
78.0,23.8,22.3,25.0,76.7,671.0,39956.0,15.8,8.6,248.0,99.0,181.0,0.8,6.8,17.07,1,0,0,0
70.0,25.7,23.9,27.0,85.2,687.0,39201.0,14.9,7.1,186.0,79.0,221.0,3.6,6.5,17.47,1,0,0,0
77.0,24.3,21.4,27.2,70.7,979.0,38214.0,15.8,6.0,187.0,84.0,186.0,2.0,6.1,18.56,0,1,0,0
88.0,22.1,19.9,25.2,56.7,747.0,28383.0,11.8,6.7,202.0,76.0,156.0,3.6,6.9,16.83,0,0,1,0
70.0,27.2,25.4,29.5,73.6,864.0,29320.0,12.9,6.5,218.0,99.0,164.0,0.7,5.9,18.19,1,0,0,0
69.0,27.3,26.2,29.2,69.6,763.0,19143.0,10.0,8.0,247.0,64.0,228.0,0.0,6.5,13.11,0,0,0,1
65.0,26.2,22.7,30.0,74.2,826.0,33099.0,10.0,9.7,153.0,104.0,250.0,3.6,7.1,12.58,0,1,0,0
63.0,26.0,23.3,28.4,77.3,1062.0,21672.0,10.5,5.9,249.0,75.0,161.0,1.7,6.6,23.56,0,0,1,0
63.0,26.5,25.2,27.6,89.1,635.0,32325.0,14.5,6.7,204.0,98.0,180.0,2.4,6.5,19.66,0,1,0,0
77.0,23.4,20.9,26.9,71.1,903.0,39411.0,14.5,5.3,202.0,54.0,178.0,5.0,6.4,24.88,0,0,0,1
60.0,25.3,23.9,27.1,98.8,650.0,23462.0,10.0,6.9,,,,0.2,6.6,17.09,1,0,0,0
65.0,22.8,19.8,25.3,68.0,667.0,22611.0,10.0,7.1,,,,0.0,6.9,17.49,0,1,0,0
66.0,24.4,21.0,27.1,83.0,808.0,29637.0,12.4,6.9,246.0,106.0,172.0,1.7,7.1,18.96,0,0,0,1
66.0,24.7,23.2,26.4,77.5,703.0,32760.0,11.5,7.9,163.0,103.0,166.0,1.7,6.8,17.7,1,0,0,0
86.0,24.4,22.5,25.8,80.8,697.0,39774.0,16.0,5.6,,,,1.8,6.7,22.39,0,0,0,1
89.0,22.5,21.4,25.3,68.5,715.0,40545.0,15.3,5.2,173.0,68.0,202.0,0.5,6.2,23.39,1,0,0,0
77.0,27.5,26.5,28.9,83.3,1044.0,22666.0,10.0,7.1,187.0,94.0,152.0,3.3,6.3,17.06,0,0,0,1
66.0,23.9,22.2,25.7,80.4,1023.0,28986.0,15.2,8.5,165.0,100.0,193.0,4.4,6.8,12.67,0,0,1,0
82.0,22.4,20.5,23.9,70.7,1199.0,27548.0,10.0,6.0,156.0,71.0,163.0,4.7,6.3,15.54,0,0,1,0
75.0,26.9,25.5,28.4,81.8,894.0,35416.0,15.3,7.6,187.0,72.0,219.0,1.8,6.0,20.41,0,0,0,1
63.0,22.0,21.0,23.8,71.2,869.0,47005.0,15.4,7.7,177.0,90.0,194.0,2.2,7.1,17.43,0,0,0,1
